Produtos;Média de VLR_MERCADORIA
RESIDUO OXIDO MAGNESIO TO; 0,14 
RESIDUO PENEIRAS ROTATIVA; 1,25 
RESIDUO PÓ DO SISTEMA LIMPEZA DO GÁS; 447,37 
RESÍDUO SILÍCIO METÁLICO; 7.987,86 
RESIDUO(TERRA CONTAMINADA); 0,01 
RESIDUO, BAUXIT, GRAN, PERIGOS, 01 03 09; 477,60 
RESIDUOS P/ DESCARTE REFRATARIO; 5.100,68 
RESIDUOS PARA DESCARTE; 321,43 
RESIDUOS/ESTERCO BOVINO; 2.532,90 
RET-A86V-05-BR 25 KG PM K F04 J447; 141.235,91 
RET-A88CR2E28B 7 KG PP K J01 J423; 383.238,27 
RET-A88PCR02BR 7 KG PP K J01 J423; 281.445,34 
RET-B76VC02E29 7 KG PP K J01 J423; 273.953,15 
REVESTIMENTO GASTO CUBA; 22,32 
ROCHA FOSFATICA; 23.457,60 
ROCHA FOSFATICA UMIDA; 21.032,55 
ROCHA FOSFATICA UMIDA GRL; 33.766,02 
ROCHA POTASSICA (Fonolito); 8.305,72 
ROTOR BBA NET NDB4971139 (I); 58.063,41 
RSGV R23FN_GTW_R08.10 300; 17.622,06 
RSGV R23FNGTW_R08.10/16 100; 102.643,12 
RSGV R23FNGTW_R08.10/16 50; 141.371,33 
RSGV R23FNGTW_R08.10/16 80; 239.116,58 
RSGV R23FVGTW_R20.16 500; 231.629,45 
RUT-VK3-BR 500 KG BB L H08 J206; 364.290,61 
RW13 MGULAY 2160; 188.775,31 
RW18 MGULAY 2160; 112.511,19 
S12X6X3 MGUTAY 2996; 324.425,51 
S131/2X6X3 MGUTAY 2996; 415.324,11 
S15X6X3 NGUKS 4110; 531.902,69 
S9X3X3 MGGSA 2800; 402.976,47 
S9X41/2X11/4 MGGOA 3939; 132.589,24 
S9X41/2X3 MGGOA 3740; 169.227,97 
SADACROM 18A 40MM; 139.562,46 
SAL; 4.803,84 
SAL GROSSO NE; 11.178,03 
SAM 20,8/23 SAM 20,8/23 GR; 44.646,49 
SAM 20,8/24 GR; 46.088,21 
SAM 21/24 GR; 40.378,58 
SAM 21-00-00 - N Total = 21% P2O5 Sol. CNA; 34.636,67 
SAM STD - SULFATO DE AMONIO STANDARD; 33.816,32 
SEPARADOR MAGNETICO DE TAMBOR; 746.666,66 
SERPENTINITO FINO; 1.480,84 
SG214 XGCH 4041 1; 369.053,57 
SGAM 02.20.00- GRANEL; 52.950,83 
SHEREDDER; 44.900,53 
SHREDDER; 43.377,48 
SIENITO BRITADO; 4.097,11 
SIKA MET ENERGETIC; 204.000,00 
SIKA MET PELLET SIC 70% PELLET CARBONETO DE SILICIO; 243.233,23 
SILICATO DE ALUMINIO; 828,38 
SILICATO DE MAGNESIO ( AGROMIX); 8.312,80 
SILICATO DE MAGNESIOPPS; 2.655,00 
SILICIO METALICO  HIGH PURITY 10X100MM; 237.858,08 
SILICIO METALICO 553 10 - 100 mm; 310.147,52 
SILICIO METALICO FORA DE FAIXA; 328.650,00 
SILICIO METALICO HIGH PURITY 01 X 38 MM; 278.892,38 
SILICIO METALICO HIGH PURITY 01X25mm; 233.985,95 
SILICIO METALICO HIGH PURITY 01X40MM; 207.735,21 
SILÍCIO METÁLICO HIGH PURITY 01x50mm; 294.800,58 
SILICIO METALICO HIGH PURITY 10 X 100 MM; 240.111,24 
SILICIO METALICO HIGH PURITY 10X100MM; 261.627,46 
SILICIO METALICO HIGH PURITY 10X30 MM; 32.830,29 
SILICIO METALICO HIGH PURITY 10X30MM; 328.579,20 
SILICIO METALICO HIGH PURITY 10x50mm; 231.051,72 
SILICIO METALICO HIGH PURRITY 30X100MM; 250.430,32 
SILICIO METALICO HIIGH PURITY 01X25MM; 282.510,71 
SILICIO METALICO STANDARD  10 X 50 MM; 258.428,50 
SILICIO METALICO STANDARD 10 X 50 MM; 204.892,91 
SILICIO METALICO STANDARD 10X100mm; 175.712,80 
SILICIO METALICO STANDARD 2 X 10 MM; 192.648,60 
SILO DOSADOR; 67.543,68 
SINTER; 13.556,91 
SINTER FEED; 15.132,01 
SINTER FEED - EA ITATIAIUÇU; 51.341,52 
SINTER FEED EST.VSB; 2.794,00 
SINTER FEED HGH GRADE; 10.707,17 
SINTER FEED HM; 11.072,49 
SINTER FEED STANDARD GRADE; 10.813,79 
SINTER M10 GRANEL; 95.781,78 
SINTER M30B 0,00-1,00mm; 3.356,41 
SINTER M30B GRANEL; 108.137,13 
SINTER M3OB; 3.363,47 
SINTER M9 GRANEL; 94.553,51 
SINTER M92 GRANEL; 155.630,77 
SINTER PRODUTO VENDA; 32.217,28 
SL564 MGGMA 2765; 255.414,16 
SMALL CHARCOAL GRANULOM 0-10MM 10%MAX; 0,25 
SMALL COKE; 54.382,13 
SMALL COQUE VOLATIL; 43.937,36 
SNACKMIX 300/1200KG/BG NCM DE MILHO; 54.615,75 
SNACKMIX 300/1200KG/BG NCM: De milho; 72.104,36 
SOJA; 80.459,94 
SOJA - PADRAO EM GRAOS; 96.881,40 
SOJA A GRANEL; 72.979,58 
SOJA AVARIADA; 80.029,00 
SOJA EM GRAO SEM PATENTE; 90.326,60 
SOJA EM GRAOS; 72.760,74 
SOJA EM GRAOS A GRANEL; 81.479,23 
SOJA EM GRAOS BENEFICIADA; 118.664,90 
SOJA EM GRAOS COM PATENTE; 66.288,71 
SOJA EM GRAOS GMO; 80.441,70 
SOJA EM GRAOS SEM PATENTE; 90.986,49 
SOJA GMO EM GRAOS; 84.930,99 
SOJA GRAOS-IN NATURA 60KG; 64.662,89 
SOJA/SOJA EM GRAO INTACTA; 30.928,24 
SOLO (REJEITO/ENTULHO); 270,00 
SOLO CONTAMINADO; 275,00 
SOLO FERTIL  MAG 40 10; 4.990,48 
SOLO FERTIL MAG 35 15+; 8.896,80 
SOLUMOP 61% CA - 1000 KG; 65.013,23 
SOLUSOP 25KG K+S DU; 66.173,32 
SORGO EM GRAOS; 28.126,57 
SP108810 XGCH 4040; 418.125,41 
SPO CII; 117.190,52 
SS50030102 FID 26737; 653.558,28 
SS50280201 FID 26737; 316.811,64 
SSF 00.19.00; 46.665,31 
SSG 00 21 00 GRANEL; 64.775,51 
SSG 00.20 GRANEL; 52.668,65 
SSG 00.21.00 16W GRANEL; 59.514,08 
SSG 00.21.00 GRANEL; 55.279,68 
SSG 00.21.00-GRANEL; 55.878,42 
SSP 00.18.00 PO; 53.746,00 
SSP 00-19-00 GRANEL; 50.784,62 
SSP GRANULADO 200016H2016H2O16CA11S; 50.605,50 
SSP N00 P19 +  19%CA + 12%S FERTILIZANTE MINERAL SIMPLES; 36.096,29 
SSP N00 P19 K00 + 16%CA + 11%S FERTILIZANTE; 38.042,45 
SSP N00 P19 K00 + 23%CA +12% FERTILIZANTE MIRERAL SIMPLES; 40.028,09 
ST35 XGCH 3967; 120.583,10 
SUC - CAVACO TESTE (T) - CV/70; 237.179,42 
SUC CAVACO DE ACO; 418.217,48 
SUC CAVACO DE FERRO FUNDIDO; 56.420,00 
SUC ESTAMPARIA SOLTA; 64.233,00 
SUC LAT PRENSADA; 225.483,55 
SUC LIMPA; 2.976,00 
SUC PESADA FORJADA; 57.785,36 
SUCATA; 82.710,26 
SUCATA - PEDRA DE BURN-OFF; 265,15 
SUCATA - PEDRAS DE BURN-OFF - PO; 339,11 
SUCATA A; 23.676,38 
SUCATA AÇO INOX AISI 304; 372,33 
SUCATA ALUMINA REATIVA; 163.609,00 
SUCATA ALUMINOSA; 19.519,61 
SUCATA CAREPA A2; 20.127,94 
SUCATA CHUMBINHO; 27.004,50 
SUCATA COMPACTADA; 70.359,97 
SUCATA CONCRETO REFRATARIO; 286,03 
SUCATA CONVERSOR P ESTAMPARIA; 73.299,46 
SUCATA DE ACO; 43.771,35 
SUCATA DE ACO CANIVETE REFRIGERANTE; 172.132,02 
SUCATA DE AÇO LEVE; 35.190,08 
SUCATA DE AÇO LEVE (PERFIL SUCATEADO); 37.092,62 
SUCATA DE AÇO PRODUÇAO; 40.427,80 
SUCATA DE ALUMINIO; 185.106,49 
SUCATA DE ANODO VERDE - PO: Item A3210-1; 242,82 
SUCATA DE CAVACO DE ACO; 35.355,11 
SUCATA DE ELETRODO DE GRAFITE; 45.407,58 
SUCATA DE ESTAMPARIA PRENSADA; 57.006,32 
SUCATA DE FERRO; 35.639,74 
SUCATA DE FERRO C; 25.127,95 
SUCATA DE FERRO NÍQUEL; 307.809,13 
SUCATA DE FERRO OXICORTADA; 38.528,13 
SUCATA DE FERRO VELHO; 46.058,48 
SUCATA DE MATERIAL REFRATARIO; 4.052,49 
SUCATA DE OXICORTE; 59.262,20 
SUCATA DE PASTA; 7.512,50 
SUCATA DE REFORMAS; 9.653,32 
SUCATA DE REFRATARIO; 11.109,87 
SUCATA DE REFRATÁRIO DA PANELA DE AÇO; 2.957,80 
SUCATA DE REFRATÁRIO DO CARRO TORPEDO; 3.075,54 
SUCATA DE REFRATÁRIO DO CONVERSOR; 18.028,58 
SUCATA DE REFRATÁRIOS; 8.449,40 
SUCATA DE TARUGO; 104.552,08 
SUCATA DE TIJOLO REFRATARIO A GRANEL; 10.951,55 
SUCATA DE VIDRO; 27.192,80 
SUCATA DE VIDRO PLANO MISTO JF; 25.064,17 
SUCATA DESSULF.FRAC.MAGNETICA +400mm; 6.129,20 
SUCATA DUTOS FLEXIVEIS; 10.808,00 
SUCATA FRAG. TAM. B; 14.485,01 
SUCATA FRAG. TAM. D; 12.771,67 
SUCATA FRAG.TAM. A; 37.272,80 
SUCATA FRAGMENTADA TAM B; 16.157,46 
SUCATA FRAGMENTADA TAM D; 12.530,17 
SUCATA GUSA 1 ( PREOCESSADA); 24.941,77 
SUCATA GUSA 1 ( PROCESSADA); 24.235,00 
SUCATA IRREGULAR; 34.800,55 
SUCATA MAT REF PLACA VALULA GAVETA; 22.760,35 
SUCATA MAT REFRAT PLACA VALVULA GAVETA; 24.380,74 
SUCATA MAT REFRATARIO SILICIO-ALUMINOSO; 14.991,62 
SUCATA MAT REFRATARIOS MAGNESIO; 14.059,39 
SUCATA METALICA; 31.500,00 
SUCATA METALICA - C65; 32.040,00 
SUCATA MIUDA; 31.677,91 
SUCATA NÃO METALICA / CERAMIC /REFRATARIO; 12.909,91 
SUCATA OXICORTADA; 33.028,67 
SUCATA PESADA MIUDA; 40.952,36 
SUCATA PESADA MIUDA SU0700013; 36.580,15 
SUCATA REFRATARIA VÁLVULA CONE; 15.500,80 
SUCATA REFRATÁRIO; 8.563,40 
SUCATA REFRATÁRIO PANELA AÇO USADO; 3.946,66 
SUCATA RESÍDUO DE ARGAMASSA; 0,19 
SUCATA SOLTA; 88.884,00 
SUCATA TIJOLO REFRATARIO; 18.512,19 
SUCATA TIJOLO REFRATARIO A GRANEL; 31.579,61 
SUCATA TIJOLOS REFRATÁRIOS SILICA; 1.417,53 
SUCATAS - PEDRAS DE BURN-OFF - PO; 327,32 
SULFATO; 32.973,89 
SULFATO AMONIO COMPACTADO 20,5%; 58.484,70 
SULFATO AMONIO COMPACTADO 20.5%; 56.266,27 
SULFATO AMONIO COMPACTADO 21%; 53.416,21 
SULFATO DE AMNIO 21% N 24% S GRANULADO; 37.844,21 
SULFATO DE AMONIA; 44.313,49 
SULFATO DE AMONIA STANDART, COM NO MINIMO 21% DE NITROGENIO (AZOTO), 24% DE ENXOFRE, A GRANEL; 36.050,65 
"SULFATO DE AMONIO - 20% N TOTAL; 23% S -"; 54.062,96 
SULFATO DE AMONIO - 21% N 24%S; 42.374,52 
"SULFATO DE AMONIO - 21% N TOTAL; 24%S -"; 34.668,14 
SULFATO DE AMONIO 21% N+ 24%; 37.827,02 
"SULFATO DE AMÔNIO FARELADO 21%N TOTAL;24%S"; 32.875,37 
SULFATO DE AMÔNIO FARELADO 21%N+22%S; 41.583,02 
SULFATO DE AMONIO FR 21.00.00 (MATERIA-PRIMA); 30.454,70 
SULFATO DE AMONIO GR 20.5 23S COMP; 42.836,64 
SULFATO DE AMONIO GR GARANTIAS: 20,8% N + 23,5% S-S-S04; 40.043,60 
SULFATO DE AMONIO GRANULADO; 36.594,44 
SULFATO DE AMONIO GRANULADO COM 21% DE NITROGENIO E 22% DE ENXOFRE; 37.477,25 
SULFATO DE AMONIO GRANULADO MIN. 20% N MIN. 24% S; 42.731,99 
SULFATO DE AMONIO SAM21; 46.123,68 
SULFATO DE AMONIO STANDARD GRA N Total 21%-; 30.676,80 
SULFATO DE BARIO; 10.326,79 
SULFATO DE CALCIO; 1.712,80 
SULFATO DE CALCIO ( GESSO AGRICOLA); 7.026,59 
SULFATO DE CALCIO (GESSO QUIMICO); 3.686,58 
SULFATO DE CALCIO BRUTO - (GESSO AGRICOLA); 8.186,18 
SULFATO DE POTASSIO ( SOP); 81.761,01 
SULFATO DE SODIO; 58.086,43 
SULFATO POTASSIO E MAGNESIO 21,5% K2O+21%S+10,5%; 59.648,24 
SUPER FOSFATO TRIPLO ( TSP); 105.587,68 
SUPER SIMPLES 21% GRANEL; 33.812,03 
SUPER TRIPLO 46%; 73.896,58 
SUPERFOSFATO SIMPLES; 37.082,76 
SUPERFOSFATO SIMPLES 00 - 19-00; 40.100,83 
SUPERFOSFATO TRIPLE GR 46%92O5; 92.853,34 
SUPERFOSFATO TRIPLE GR 46%P2O5; 96.385,22 
SUPERFOSFATO TRIPLO; 96.377,14 
SUPERFOSFATO TRIPLO (TSP) - FERTILIZANTE MINERAL; 146.717,31 
SUPERFOSFATO TRIPLO (TSP) - GRANULADO; 106.164,18 
SUPERFOSFATO TRIPLO (TSP/ROP) - FARELADO; 127.610,49 
SUPERFOSFATO TRIPLO 46%P2O5 10%CA; 119.096,83 
SUPERFOSFATO TRIPLO FERTILIZANTE MINERAL SIMPLES; 85.539,91 
SUPERFOSFATO TRIPLO TSP-ROP; 105.007,35 
SUPORTE INJ GAS GI-BSU0001S (P); 938,65 
SUPORTE VAL GAV G01863 (P); 141.330,34 
TALCO EM PO TALMAG-PR2-SAC25KG; 22.731,25 
TALCO MOIDO TALMAG; 77.354,43 
TAMPA MAQ PRO S103035 (P); 3.480,43 
TANQUE 3.000 LITROS CVFFP PERFIL ALTO COM TAMPA; 22.440,00 
TA-NT06-BR 25 KG PE K M05 J052; 112.241,07 
TAPBL0CK-CSN01A FAD 21409; 55.771,69 
TARUGO 120mm 15B29m 12m; 110.385,97 
TARUGO 130 MV30A 12,000M SITREL; 66.848,95 
TARUGO 155 1084 C; 135.919,54 
TARUGO 155 34 MB X (PO78); 105.600,01 
TARUGO 155 34MB X (P078); 119.725,35 
TARUGO 155 42 MC X 10,80 M; 130.515,15 
TARUGO 155 5140 Z 11,80 M; 139.618,23 
TARUGO 155 51B6 Z - 11,80 M (HK62); 122.297,40 
TARUGO 155 P116; 128.317,77 
TARUGO 155 P116 Z - 11,80 M - FINAL; 159.633,59 
TARUGO 155 P116 Z 11,80 M (6150 51 CR V4); 148.250,63 
TARUGO 155 P215 Z - 15B24; 129.235,24 
TARUGO 155 PL48 Z - 11,80 M; 110.815,46 
TARUGO 155 SF20  Z - 11,80 M - 1020 L; 108.700,91 
TARUGO DE ACO 130mm SAE 1008 15,000m; 112.717,35 
TARUGO LCT 130m 1016G 4,1m 539,68kg; 124.038,42 
TARUGO LCT 130MM; 105.492,58 
TARUGO LCT 150mm 1012 OB 12,000m; 159.856,12 
TARUGO LCT 160mm 1026 10,5m 2,13t CAU; 107.329,98 
TARUGO LQ 150mm SAE 1032 OB 10,800m; 181.801,03 
TB RD AC PR CC ASTM A134/A283 GR C - 30; 256.118,24 
TB RD AC PR SC API 5L/A106 GR B - 8 SCH 40; 110.486,61 
TÊ-BOL-FL TJGSTEF.16 700 200; 156.914,81 
TÊ-BOL-FL TJGSTEF.16 800 200; 221.789,89 
TECFAL 1501; 88.868,83 
TECH. NK III 190419; 62.250,00 
TÊ-FLS TFF.10XP 300 100; 14.477,48 
TELA SOLDADA Q092 2,450 M 6,00 M; 81.370,70 
TERRA SELECAO REFRATARIOS; 29.201,85 
TERRA VEGETAL ORGANICA; 6.098,15 
THERMAL COAL - MV ARMONIA; 24.657,34 
TIJ. REFRATARIO; 62.018,21 
TIJ. REFRATARIO  (VANDERLEIA); 358.579,20 
TIJOLO REFRATARIO; 466.904,19 
TIJOLO REFRATARIO - PROCER 45 - 622L 220X300X103-5,5; 238.141,24 
TIJOLO REFRATARIO DOLOMITICO CURADO SINDOFORM; 150.427,20 
TIJOLO REFRATARIO MAGNESIANO CURADO ANCARBON R F6612S; 437.976,06 
TIJOLO REFRATARIO MAGNESIANO QUEIMADO; 393.575,27 
TIJOLO REFRATARIO MAGNESIANO, QUEIMADO MAGNEFOR; 220.001,87 
TIJOLO REFRATARIO PANELA ACO SEGREGADO; 10.125,99 
TIJOLO REFRATARIO, ALUMINOSO CURADO UREX; 492.467,52 
TIJOLO REFRATARIO, ALUMINOSO, CURADO RESISTAL; 262.498,09 
TIJOLO REFRATARIO, ALUMINOSO, CURADO UREX; 414.620,92 
TIJOLO REFRATARIO, ALUMINOSO, QUEIMADO MAXIAL; 199.995,35 
TIJOLO REFRATARIO, DOLOMITICO CURADO SINDOFORM R40-3-US; 196.194,36 
TIJOLO REFRATARIO, MAGNESIANO, CURADO ANCARBON; 266.565,86 
TIJOLO REFRATARIO, MAGNESIANO, CURADO ANCARBON R F2E10U-C1 40/0; 414.309,90 
TIJOLO REFRATARIO, MAGNESIANO, CURADO ANKERMAC; 385.098,60 
TIJOLO REFRATARIO, MAGNESIANO, QUEIMADO ANKER; 271.471,10 
TIJOLO REFRATARIO, MAGNESIANO, QUEIMADO MAGKOR; 354.787,94 
TIJOLO REFRATORIO, ALUMINOSO CURADO ANKO; 408.857,49 
TINTA EPOXI 4X1-BR N9 5-3, 6L BRANCO; 148.372,03 
TJ.REFRAT - P - 229X114X38 - S-70; 189.158,15 
TJ.REFRAT - P - 229X171X76 - S - 70; 95.132,64 
TJ.REFRAT.DES.NQ.634.A-1.968- CASTOGNI-CFS-95C-W-C; 239.737,04 
TN-389-BR 500 KG BB L H08 J 206; 164.353,14 
TN-389-BR 500 KG BB L H08 J206; 120.756,36 
TN-FF10-BR 1500 KG BB L H08 J252; 114.645,96 
TN-FF13-BR 1500KG BB L H08 J252; 330.369,65 
TN-SG451-BR 1500KG BB L H08 J252; 123.510,88 
TORTA DE ALGODAO; 34.810,28 
TORTA ORGANICA; 7,64 
TR18 MGABAY 3057 ET; 701.833,26 
TRELIÇA TB 8L 12,0M F X60 TR 08644; 74.307,39 
TRIGO; 63.543,43 
TRIGO ARGENTINO EM GRAO; 61.911,59 
TRIGO MELHORADOR ARGENTINO; 47.406,02 
TRIGO URUGUAIO EM GRAO; 89.740,32 
TRONCO DE DENDE, PALMA DERRUBADA PARA USO EXPERIMENTAL DA EMPRESA TECPAR; 4,40 
TSP GR; 79.343,17 
TSP GRA - SUPERFOSFATO TRIPLO; 101.706,53 
TUBENFK14FLAV.C207CL150LISO 800 1800; 140.447,48 
TUBO 13,70X2,25X5000MM; 93.571,40 
TUBO ACO TRE S/C 10,0X 2,00MM (I); 253.565,38 
TUBO CTC25JGSAZ 1200 7000; 227.343,28 
TUBO CTK7JGSAZ 150 6000; 156.322,41 
TUBO CTK7JGSAZ 200 6000; 207.534,64 
TUBO CTK7JGSAZ 250 6000; 147.381,27 
TUBO CTK7JGSAZ 450 6000; 165.977,17 
TUBO CTK7JGSAZ 500 6000; 130.263,94 
TUBO CTK7JGSAZ 600 6000; 116.272,43 
TUBO CTK7JGSAZ 700 7000; 168.355,30 
TUBO CTK7JGSAZ 800 7000; 149.438,64 
TUBO CTK9JGSAZ 100 6000; 119.015,17 
TUBO CTKJGSAZ 600 5500; 118.094,28 
TUBO CTKJGSAZ 600 6000; 121.936,52 
TUBO NBR 5580; 133.316,82 
TUBO NBR 5580 21,30X2,65 - 6,00M; 142.205,41 
TUBO TK7 JGSAZ 400 6000; 184.362,93 
TUBO TK7 JGSAZ 800 7000; 208.204,69 
TUBO TK7 JGSEPDEMAZ  600 6000; 138.160,31 
TUBO TK7 JGSEPDMAZ 500 6000; 164.787,77 
TUBO TK7JGSAZ 1000 7000; 248.975,56 
TUBO TK7JGSAZ 150 6000; 136.685,96 
TUBO TK7JGSAZ 200 6000; 203.365,14 
TUBO TK7JGSAZ 250 6000; 209.760,56 
TUBO TK7JGSAZ 300 6000; 189.618,85 
TUBO TK7JGSAZ 400 6000; 181.671,37 
TUBO TK7JGSAZ 500 6000; 153.581,72 
TUBO TK7JGSAZ 600 6000; 206.929,79 
TUBO TK7JGSAZ 700 7000; 244.821,50 
TUBO TK7JGSAZ 900 7000; 163.400,56 
TUBO TK7JGSEPDMAZ 400 6000; 203.938,98 
TUBO TK7JGSEPDMAZ 500; 208.177,92 
TUBO TK7JGSEPDMAZ 600 6000; 220.164,47 
TUBO TK7JGSEPDMAZ-M 250 6000; 239.462,21 
TUBO TK7JGSEPDMAZ-M 500 6000; 156.091,92 
TUBO TK7JGSNBRAZ 150 6000; 171.299,40 
TUBO TK7JGSNBRAZ 350 6000; 183.894,71 
TUBO TK7JSAZ 800 700; 173.716,55 
TUBO TK9JGSAZ 400 6000; 180.503,26 
TUBO TK9JGSAZ 500 6000; 292.854,74 
TUBO TK9JGSAZ 80 6000; 155.858,51 
TUBO TK9JGSEPDMAZ 100 6000; 238.958,44 
TUBO TK9JTEAZPN25_ESP2_NOVO 12007000; 395.919,16 
TUBO-CILIND TK9CLTT 500 2000; 165.000,00 
TUBO-CILIND TK9CLTT 500 5500; 103.918,20 
TUBO-FL TFLAZ.10 200 900; 7.039,34 
TUBO-FL-BOL TUBINTFB.10/16 150 990; 141.051,21 
TUBO-FL-PTA TFP.10 400 1500; 344.266,94 
TUBO-FL-PTA TFP.10 400 2200; 115.150,04 
TUBO-FL-PTA TUBINTFP.10 250 5800; 192.414,14 
TUBO-FL-PTA TUBINTFP.10 400 2500; 103.088,64 
TUBO-FL-PTA TUBINTFP.10/16 100 5800; 206.114,25 
TUBO-FLS TUBINTFL.10 250 600; 108.127,20 
TUBO-FLS TUBINTFL.10 300 1210; 107.965,05 
TUBO-FLS TUBINTFL.10 300 1840; 276.622,21 
TUBO-FLS TUBINTFL.10 300 700; 136.475,66 
TUBO-FLS TUBINTLF.10 400 1350; 193.792,58 
TUBO-FP TFPAZ 10 500 2000; 150.407,18 
TUBO-PB CTUBINTC25_R46 1600 5500; 113.698,75 
TUBO-PTA-BOL CTK9JGSTE 900 7000; 124.642,92 
TUBO-PTA-BOL CTUBINT 600 6000; 102.342,08 
TUBO-PTA-BOL TK7JGS 900 7000; 62.497,15 
TUBO-PTA-BOL TK7JGST 1200 7000; 286.241,31 
TUBO-PTA-BOL TK7JGSTE 700 7000; 106.092,01 
TUBO-PTA-BOL TK7JGSTE 800 7000; 216.441,14 
TUBO-PTA-BOL TUBINT 100 6000; 204.544,60 
TUBO-PTA-BOL TUBINT 1200 7000; 138.399,72 
TUBO-PTA-BOL TUBINT 150 6000; 183.243,95 
TUBO-PTA-BOL TUBINT 200 6000; 285.749,11 
TUBO-PTA-BOL TUBINT 300 6000; 143.446,40 
TUBO-PTA-BOL TUBINT 350 6000; 172.009,85 
TUBO-PTA-BOL TUBINT 500 6000; 177.864,21 
TUBO-PTA-BOL TUBINT 600 6000; 104.936,82 
TUBO-PTA-BOL TUBINT 80 6000; 282.456,92 
TUBO-PTA-BOL TUBINT 900 7000; 236.774,65 
TUBO-PTA-BOL TUBINTK7ESP 1200 6800; 167.492,03 
TUBO-PTA-BOL TUBINTK7ESP 700 7000; 43.612,46 
TUBO-PTA-BOL TUBINTK7ESP 900 7000; 97.771,25 
TUBO-PTA-BOL TUBINTTE 1200 7000; 322.985,86 
UBO TK7JGSEPDMAZ 400 6000; 118.113,67 
UBO-PTA-BOL TUBINT 80 6000; 185.015,17 
UNICARBO CVP; 47.855,69 
UREIA; 71.442,16 
UREIA - 46% N TOTAL - FERTILIZANTE; 80.217,39 
UREIA 46 00 N GRANULADO FERTILIZANTE MINERAL; 76.181,56 
UREIA 46 GR; 88.210,34 
UREIA 46% N; 71.688,23 
UREIA 46% N - MINERAL SIMPLES; 72.884,55 
UREIA 46-00-00; 84.904,77 
UREIA AUTOMOTIVA; 98.394,67 
UREIA FERTILIZANTE GRANEL; 62.820,33 
UREIA FERTILIZANTE GRANULADA UREIA 46-00-00; 80.801,50 
UREIA FERTILIZANTE MINERAL SIMPLES GRANULADO; 52.566,00 
UREIA GR GRANEL; 68.212,79 
UREIA GRANULADA; 102.366,37 
UREIA GRANULADA 45%; 70.733,83 
UREIA GRANULADA 46; 76.624,54 
UREIA GRANULADA 46-00-00 46%; 93.849,99 
Ureia Granulada Big Bag 45%; 90.144,27 
UREIA GRANULADA COM TEOR DE 46% DE NOTROGENIO AZOTO TOTAL; 8.307,79 
UREIA GRANULADA COM TEOR DE NI; 82.789,36 
UREIA GRANULADA EM BIG BAG 46%; 46.061,88 
UREIA GRANULADA N 46%; 69.489,44 
UREIA PEROLADA N=46%; 71.221,08 
UREIA PRILL (PLUS) GR 46%; 106.828,14 
UREIA PRILL 46%; 114.961,48 
USISILICIO PLUS - FERTILIZANTE MINERAL SIMPLES - AGRANEL; 10.809,54 
USTULADO DE ZINCO; 278.804,27 
V.NERV. NTP339341 GR60 N4 9,00M 2T; 154.507,37 
V.NERV. NTP339341 GR60 N6 9,00M; 129.551,30 
V.NERV. NTP339341 GR60 NS 9,00M 2T; 147.372,77 
V.NERV. NTP339341.031 GR60 12mm 9M 2T; 161.457,85 
VÁL_EURO R22FCNGCL125 100; 182.160,04 
VÁL_EURO R23FC.10/16 50; 109.177,00 
VÁL_EURO R23FCNG.10 200; 98.145,72 
VÁL_EURO R23FCNG.10/16 75; 1.501,39 
VÁL_EURO R23FCNG.10/16 80; 45.126,13 
VÁL-EURO CR24BPVCKLIKC 50; 18.779,16 
VÁL-EURO CR25BJGSCNG 300; 3.145,08 
VAL-EURO R23FVNG.10 200; 21.515,15 
VÁL-EURO R23FVNG.10 350; 136.577,73 
VÁL-EURO R23FVNG.10/16ISO 150; 204.718,80 
VÁL-EURO R25BJGSCNGEPDM 100; 190.235,94 
VÁL-GAVETA R25BJECFSH_R27 75; 540.000,00 
VAL-RET VR_VPCRIVO_R09.10/16 100; 5.531,92 
VAL-RET VR_VPCRIVO_R09.10/16 50; 229.855,91 
VAL-RET VRPUS35_NBR_R09.10 300; 45.121,89 
VÁLV-BORB VBF.10WAE_INT_MODTCP 220V 1200; 307.941,42 
VAM ZN; 21.371,26 
VARREDURA; 21.435,12 
VARREDURA DE FERTILIZANTES; 46.542,29 
VARREDURA GRANEIS; 9.325,86 
VARREDURA GRANEL; 22.670,71 
VBA131/2X41/2N2 MGUVAN 6060 BZZS; 162.392,68 
VD - 00 20 00; 61.123,38 
VD-SUPERF. TRIPLO GR 46/36 P2O5 VDIRETA; 98.014,54 
VEICULOS; 238.410,00 
VENT VQF_RFP_RED_R30.10/16 80; 2.142,83 
VERG CA 50 12,5MM CARR2,3T NV CD; 141.924,18 
VERG CA 50 6,3mm RT 12m 1t NV; 102.078,64 
VERG CA50  12,5mm carr2,3T nv c/d; 179.578,63 
VERG CA50 10MM DOB12MM 1t NV; 169.438,12 
VERG CA50 10MM RL1,8T NV; 87.474,63 
VERG CA50 10mm RT 12m 1t NV; 134.702,43 
VERG CA50 10MM RT 12MM 2T NV; 124.711,82 
VERG CA50 12,5MM; 88.328,60 
VERG CA50 12,5mm CARR1,15t NV IND C/D; 26.824,85 
VERG CA50 12,5mm DOB12m 1t NV; 122.814,22 
VERG CA50 12,5mm RT 12m 1t NV; 135.383,79 
VERG CA50 12,5mm RT 12m 2t NV; 91.114,11 
VERG CA50 12,5mm RT12m 1,00t NV # LE 700; 127.214,38 
